User,ImageID,Defect_Present,Confidence,Coordinates,Extent,Severity,Date
y.zezhang@wustl.edu,7,True,1,"X=0.9747, Y=0.1518",Medium (60 degrees),Moderate (25%),6/25/2024
y.zezhang@wustl.edu,6,True,1,"X=0.9725, Y=0.0979",Medium (60 degrees),Moderate (25%),6/25/2024
y.zezhang@wustl.edu,10,True,1,"X=0.9709, Y=0.1538",Medium (60 degrees),Moderate (25%),6/25/2024
y.zezhang@wustl.edu,7,True,1,"X=0.9736, Y=0.1518",Medium (60 degrees),Moderate (25%),6/25/2024
y.zezhang@wustl.edu,14,True,1,"X=0.9704, Y=0.1558",Medium (60 degrees),Moderate (25%),6/25/2024
y.zezhang@wustl.edu,11,True,1,"X=0.9752, Y=0.1578",Medium (60 degrees),Moderate (25%),6/25/2024
y.zezhang@wustl.edu,15,True,1,"X=0.9752, Y=0.1638",Medium (60 degrees),Moderate (25%),6/25/2024
y.zezhang@wustl.edu,2,True,1,"X=0.9725, Y=0.1518",Medium (60 degrees),Moderate (25%),6/25/2024
y.zezhang@wustl.edu,15,True,1,"X=0.9763, Y=0.1618",Medium (60 degrees),Moderate (25%),6/25/2024
y.zezhang@wustl.edu,1,True,1,"X=0.9752, Y=0.1558",Medium (60 degrees),Moderate (25%),6/25/2024
y.zezhang@wustl.edu,5,True,1,"X=0.9730, Y=0.1458",Medium (60 degrees),Moderate (25%),6/25/2024
y.zezhang@wustl.edu,3,True,1,"X=0.9714, Y=0.1438",Medium (60 degrees),Moderate (25%),6/25/2024
y.zezhang@wustl.edu,14,True,1,"X=0.9709, Y=0.1578",Medium (60 degrees),Moderate (25%),6/25/2024
y.zezhang@wustl.edu,1,True,1,"X=0.9741, Y=0.1458",Medium (60 degrees),Moderate (25%),6/25/2024
y.zezhang@wustl.edu,9,True,1,"X=0.9725, Y=0.1398",Medium (60 degrees),Moderate (25%),6/25/2024
y.zezhang@wustl.edu,3,True,1,"X=0.9736, Y=0.1418",Medium (60 degrees),Moderate (25%),6/25/2024
y.zezhang@wustl.edu,6,True,1,"X=0.9736, Y=0.1458",Medium (60 degrees),Moderate (25%),6/25/2024
y.zezhang@wustl.edu,12,True,1,"X=0.9747, Y=0.1558",Medium (60 degrees),Moderate (25%),6/25/2024
y.zezhang@wustl.edu,4,True,1,"X=0.9714, Y=0.1538",Medium (60 degrees),Moderate (25%),6/25/2024
y.zezhang@wustl.edu,4,True,1,"X=0.9725, Y=0.1518",Medium (60 degrees),Moderate (25%),6/25/2024
y.zezhang@wustl.edu,13,True,1,"X=0.9779, Y=0.1538",Medium (60 degrees),Moderate (25%),6/25/2024
y.zezhang@wustl.edu,9,True,1,"X=0.7024, Y=0.1478",Medium (60 degrees),Moderate (25%),6/25/2024
y.zezhang@wustl.edu,13,True,1,"X=0.9127, Y=0.1418",Medium (60 degrees),Moderate (25%),6/25/2024
y.zezhang@wustl.edu,8,True,1,"X=0.9024, Y=0.1578",Medium (60 degrees),Moderate (25%),6/25/2024
y.zezhang@wustl.edu,2,True,1,"X=0.9730, Y=0.1518",Medium (60 degrees),Moderate (25%),6/25/2024
y.zezhang@wustl.edu,8,True,1,"X=0.8345, Y=0.1578",Medium (60 degrees),Moderate (25%),6/25/2024
y.zezhang@wustl.edu,11,True,1,"X=0.9752, Y=0.1678",Medium (60 degrees),Moderate (25%),6/25/2024
y.zezhang@wustl.edu,12,True,1,"X=0.9763, Y=0.1538",Medium (60 degrees),Moderate (25%),6/25/2024
y.zezhang@wustl.edu,10,True,1,"X=0.9714, Y=0.1538",Medium (60 degrees),Moderate (25%),6/25/2024
y.zezhang@wustl.edu,5,True,1,"X=0.9057, Y=0.1518",Medium (60 degrees),Moderate (25%),6/25/2024
